State,City,Alias,City_ID,Lat,Lon
MA,Boston,Boston vicinity,4930956,42.314,-71.11
OK,Lawton,Wichita Wildlife Refuge,4540737,34.753,-98.799
OK,Mangum,Quartz Mountain,4542100,34.907,-99.332
OK,Wilburton,Robber's Cave,4555423,34.996,-95.332
OK,Tulsa,Chandler Park,4553433,36.133,-96.069
MN,Worthington,Blue Mounds,5053460,43.634,-95.623
MN,Red Wing,Red Wing,5042773,44.598,-92.645
MN,Duluth,Duluth vicinity,5024719,46.764,-92.251
MN,Silver Bay,Lake Superior Areas,5047308,47.29,-91.314
SD,Sioux City,Palisades State Park,5231851,42.473,-96.541
SD,Spearfish,Spearfish Canyon,5769288,44.485,-103.872
SD,Rapid City,The Needles,5768233,44.069,-103.323
WY,Gillette,Devil's Tower,5826027,44.59,-104.716
WY,Laramie,Vedauwoo,5830062,41.154,-105.376
WY,Casper,Fremont Canyon,5820705,42.515,-106.78
WY,Lander,Lander Vicinity,5830007,42.752,-108.807
WY,Pinedale,Wind River Range,5835178,43.183,-109.661
WY,Buffalo,Ten Sleep,5819881,44.034,-107.463
WY,Cody,Cody vicinity,5821593,44.519,-109.097
WY,Driggs,Grand Tetons,5591399,43.807,-110.969
CO,Boulder,Front Range Areas,5574991,40.029,-105.31
CO,Golden,Clear Creek Canyon,5423294,39.739,-105.324
CO,Fort Collins,Poudre Canyon,5577147,40.698,-105.632
CO,Estes Park,Rocky Mountain National Park,5576882,40.366,-105.568
CO,Idaho Springs,Mt. Evans,5425911,39.588,-105.652
CO,Colorado Springs,Shelf Road,5417598,38.628,-105.229
CO,Rifle,Rifle,5436363,39.728,-107.69
CO,Grand Junction,Western Slope Areas,5423573,39.085,-108.64
CO,Durango,Southwest Colorado,5420241,37.272,-107.937
CO,Ouray,Ouray Vicinity,5433676,38.03,-107.69
CO,Gunnison,Black Canyon,5424099,38.574,-107.805
CO,Aspen,Independence Pass,5412230,39.108,-106.572
UT,Salt Lake City,Salt Lake City vicinity,5780993,40.776,-112.06
UT,Logan,Logan Canyon,5777544,41.74,-111.802
UT,Moab,Moab Vicinity,5543307,38.574,-109.586
UT,St. George,St. George vicinity,5546220,37.104,-113.703
UT,Moroni,Maple Canyon,5543462,39.555,-111.679
UT,Orangeville,Joe's Valley,5544402,39.296,-111.299
UT,Hurricane,Zion National Park,5540831,37.18,-113.041
UT,Delta,Ibex,5538080,38.881,-113.461
UT,Orem,American Fork,5779334,40.42,-111.97
UT,Monticello,Indian Creek,5543377,38.226,-110.181
NV,Ely,Great Basin National Park,5503694,38.951,-114.315
NV,Las Vegas,Red Rocks,5506956,36.135,-115.43
NV,Carson City,Washoe Boulders,5501350,39.167,-119.916
NV,Fernley,Pyramid Lake areas,5504003,40.022,-119.837
NV,Eureka,Wild Granites,5503804,39.513,-115.986
NV,Lamoille,Ruby Mountains,5703670,40.621,-115.483
NV,Incline Village,Lake Tahoe east shore,5505963,39.254,-119.991
MT,Bozeman,Hyalite Canyon,5641727,45.521,-111.012
MT,Big Sky,Gallatin Canyon,5640193,45.261,-111.311
MT,Helena,Whiskey Gulch,5656882,46.593,-112.05
MT,Missoula,Missoula vicinity,5666639,46.876,-114.158
MT,Kalispell,Northwest Montana,5660340,48.211,-114.461
ID,Idaho Falls,The Fins,5596475,43.72,-113.078
ID,Twin Falls,Twin Falls vicinity,5610810,42.565,-114.488
ID,Burley,City of Rocks,5587385,42.078,-113.705
ID,Boise,Boise vicinity,5586437,43.6,-116.374
ID,Stanley,Sawtooth Range,5609286,44.168,-115.043
ID,Grangeville,Riggins,5594474,45.42,-116.338
ID,Couer D'Alene,Northern Panhandle,5589173,47.701,-116.862
OR,Bend,Smith Rocks,5713587,44.368,-121.142
OR,Eugene,Wilamette Valley,5725846,44.06,-123.192
OR,Portland,Portland vicinity,5746545,45.542,-122.794
OR,Hood River,Mt. Hood vicinity,5731777,45.705,-121.539
WA,Leavenworth,Leavenworth,5800683,47.589,-120.678
WA,Spokane,Spokane vicinity,5811696,47.672,-117.552
WA,Omak,Vantage,5805734,48.433,-119.589
WA,Bellingham,Bellingham vicinity,5786899,48.753,-122.531
WA,North Bend,Little Si,5804915,47.486,-121.756
WA,Gold Bar,Index,5795678,47.818,-121.572
WA,Rainier,Mt. Rainier vicinity,5747402,46.852,-121.769
WA,Yakima,Yakima vicinity,5816605,46.594,-120.618
WA,Pullman,Southeastern Washington,5807540,46.73,-117.187
CA,Mount Shasta,Mt. Shasta vicinity,5568295,41.408,-122.202
CA,Arcata,Humboldt County,5558953,41.03,-124.113
CA,Truckee,North Lake Tahoe,5403676,39.318,-120.322
CA,South Lake Tahoe,South Lake Tahoe,5397664,38.922,-120.048
CA,Oakland,Bay Area Climbing,5378538,37.893,-122.272
CA,Sonora,Sonora Pass,5397165,38.328,-119.638
CA,Yosemite Valley,Yosemite National Park,7262586,37.729,-119.636
CA,Bridgeport,Tuolumne Meadows,5330736,37.872,-119.377
CA,Mammoth Lakes,Mammoth Lakes vicinity,5370006,37.64,-119.978
CA,Bishop,Bishop vicinity,5328808,37.366,-118.415
CA,Visalia,The Needles,5406567,36.109,-118.487
CA,San Luis Obispo,Central Coast,5392323,35.272,-120.699
CA,Malibu,Malibu Creek,5369906,34.063,-118.703
CA,Simi Valley,Stoney Point,5396003,34.274,-118.603
CA,Riverside,Riverside Quarry,5387877,34.017,-117.42
